記錄號碼,更新人,建立人,更新時間,建立時間,客戶/供應商代號,客戶/供應商名稱,客戶/供應商類型,統一編號,客戶類別,負責業務 (擇一即可),收貨地址(可刪除),供應商類別,國別/城市別,產業類別 (類型為客戶時才顯示),客戶/供應商集團,發票地址,付款條件,付款方式,結帳日,特殊要求,幣別,運輸條件,公司網站,公司電話,公司傳真,發票郵遞區號,收貨郵遞區號(可刪除),負責業務(NAME)(擇一即可),業績歸屬,供應商簡碼,員工編號,員工姓名,清洗後地址,Latitude,Longitude
3657,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0418,佳統電子有限公司,Customer,84975666,Local Customer,Darren,桃園市桃園區興一街104-3號2樓,,TW-N4 Taoyuan,Distributor,佳統電子有限公司,桃園市桃園區興一街104-3號2樓,Cash on Delivery,Check,25.0,,TWD,,,,,33052,33052,Darren Chang,Jack,,T023,張宏銘,桃園市桃園區興一街104-3號,25.015012,121.316427
3658,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0417,欣昱達電子有限公司,Customer,28097103,Local Customer,Darren,新北市新莊區思源路387號1F,,TW-N2 New Taipei,Distributor,欣昱達電子有限公司,新北市新莊區思源路387號1F,Cash on Delivery,Remittance,25.0,,TWD,,,+886 2 2279 7878,+886 2 8993 3939,24250,24250,Darren Chang,Jack,,T023,張宏銘,新北市新莊區思源路387號,25.051598,121.45963
3659,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0416,井昇股份有限公司,Customer,84586168,Local Customer,Darren,新北市樹林區西圳街一段203巷32-1號,,TW-N2 New Taipei,DC Bank,井昇股份有限公司,新竹縣竹東鎮中興路二段2巷2-2號,EOM 30,Check,25.0,,TWD,,,+886 2 2668 5666,+886 3 583 3939,31053,23851,Darren Chang,Arron,,T023,張宏銘,新北市樹林區西圳街一段203巷32-1號,24.959746,121.393224
3488,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0415,Rectifier House,Customer,,Int'l Customer,Kent,,,IN India,Distributor,Rectifier House,,Prepaid,Remittance,25.0,,USD,EXW,,,+91 80 2782 0587,,,Kent Feng,Kent,,T001,馮耀賢,,,
3489,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0414,Cyber Tech International,Customer,,Int'l Customer,Kent,,,HK Hong Kong,Distributor,Cyber Tech International,,Prepaid,Remittance,25.0,,USD,EXW,,+86 17611035969,,,,Kent Feng,Kent,,T001,馮耀賢,,,
3490,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0413,PT Electronics Ltd.,Customer,,Int'l Customer,Kent,,,RU Russia,Distributor,PT Electronics Ltd.,,Prepaid,Remittance,25.0,,USD,EXW,http://www.ptelectronics.ru/,+7 812 324 63 50,,,,Kent Feng,Kent,,T001,馮耀賢,,,
3660,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0412,宣榮實業股份有限公司,Customer,89357544,Local Customer,Darren,新北市土城區自強街5號4樓,,TW-N2 New Taipei,SCR Controller/Soft Starters,宣榮實業股份有限公司,新北市土城區自強街5號4樓,Prepaid,Remittance,25.0,,TWD,,,+886 2 2269 0099,+886 2 2269 0066,23678,23678,Darren Chang,Jack,,T023,張宏銘,新北市土城區自強街5號,24.969586,121.429413
3491,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0411,"HILSONE CO., LTD.",Customer,,Int'l Customer,Kent,"B108 Biz center, 124 Sagimakgol-ro,  Jungwon-Gu, Seongnam-Si, Gyeonggi-Do, 13207 KOREA",,KR Korea,Distributor,"HILSONE CO., LTD.","B108 Biz center, 124 Sagimakgol-ro,  Jungwon-Gu, Seongnam-Si, Gyeonggi-Do, 13207 KOREA",Prepaid,Remittance,25.0,,USD,EXW,,+82 10 8251 3961,,,13207,Kent Feng,Kent,,T001,馮耀賢,"B108 Biz center, 124 Sagimakgol-ro,  Jungwon-Gu, Seongnam-Si, Gyeonggi-Do, 13207 KOREA",,
3661,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0410,得邁斯科技股份有限公司,Customer,12968700,Local Customer,Darren,高雄市左營區博愛四路2號13樓之2,,TW-N2 New Taipei,Distributor,得邁斯科技股份有限公司,新北市新莊區思源路169號7樓,Cash on Delivery,Check,25.0,,TWD,,,+886 2 2279 7858,+886 2 2279 7957,24250,81369,Darren Chang,Jack,,T023,張宏銘,高雄市左營區博愛四路2號之2,22.681216,120.310722
3492,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0409,Sabar Corporation,Customer,,Int'l Customer,Kent,"C-14, JALARAM SOCIETY, NEAR INDUSTRIAL SOCIETY, NEW SAMA ROAD, VADODARA - 390008, INDIA",,IN India,Distributor,Sabar Corporation,"C-14, JALARAM SOCIETY, NEAR INDUSTRIAL SOCIETY, NEW SAMA ROAD, VADODARA - 390008, INDIA",Prepaid,Remittance,25.0,,USD,EXW,,+91 81 6062 8442,,,,Kent Feng,Kent,,T001,馮耀賢,"C-14, JALARAM SOCIETY, NEAR INDUSTRIAL SOCIETY, NEW SAMA ROAD, VADODARA - 390008, INDIA",,
3662,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0408,博計電子股份有限公司,Customer,22012959,Local Customer,Darren,新北市新店區寶中路88號7樓,,TW-N2 New Taipei,Electronic Load,博計電子股份有限公司,新北市新店區寶中路88號8樓,Cash on Delivery,Check,25.0,,TWD,,,+886 2 2918 2620,+886 2 2917 0397,23144,23144,Darren Chang,Jack,,T023,張宏銘,新北市新店區寶中路88號,24.98036,121.548628
3663,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0407,領眾科技股份有限公司,Customer,89228654,Local Customer,Darren,新北市板橋區廣權路13號4樓,,TW-N2 New Taipei,Others,領眾科技股份有限公司,新北市板橋區廣權路13號4樓,Cash on Delivery,Remittance,25.0,,TWD,,,+886 2 2962 9092,+886 2 2955 3410,22061,22061,Darren Chang,Jack,,T023,張宏銘,新北市板橋區廣權路13號,24.991748,121.460726
3493,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0406,Glorious Electronics,Customer,,Int'l Customer,Kent,"1, Gordhan Building,  Proctor Road, Mumbai, India",,IN India,Distributor,Glorious Electronics,"1, Gordhan Building,  Proctor Road, Mumbai, India",Prepaid,Remittance,25.0,,USD,EXW,http://www.gloriouselectronics.com,,,,400007,Kent Feng,Kent,,T001,馮耀賢,"1, Gordhan Building,  Proctor Road, Mumbai, India",,
3494,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0405,Weldworx Industrial Ltd.,Customer,,Int'l Customer,Kent,"29 Carlyle Street, Sydenham 8023, Christchurch, New Zealand",,NZ New Zealand,Welding Machine,Weldworx Industrial Ltd.,"29 Carlyle Street, Sydenham 8023, Christchurch, New Zealand",Prepaid,Remittance,25.0,,USD,EXW,,+64 3 365 8599,,,8023,Kent Feng,Kent,,T001,馮耀賢,"29 Carlyle Street, Sydenham 8023, Christchurch, New Zealand",,
3495,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0404,Heytech Elektrik Elektronik A.S,Customer,,Int'l Customer,Kent,Alt?n ?ehir Mahallesi Meric Sokak NO: 12/3 Umraniye / ?stanbul / Turkiye,,SI Slovenia,Distributor,Heytech Elektrik Elektronik A.S,Alt?n ?ehir Mahallesi Meric Sokak NO: 12/3 Umraniye / ?stanbul / Turkiye,Prepaid,Remittance,25.0,,USD,EXW,http://www.heytech.com.tr,+90 216 265 29 90,+90 216 265 29 90,,34775,Kent Feng,Kent,,T001,馮耀賢,Alt?n ?ehir Mahallesi Meric Sokak NO: 12/3 Umraniye / ?stanbul / Turkiye,,
3496,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0403,Elrad WS d.o.o.,Customer,,Int'l Customer,Kent,"Ljutomerska cesta47, 9250 Gornja Radgona, Slovenia",,SI Slovenia,Distributor,Elrad WS d.o.o.,"Ljutomerska cesta47, 9250 Gornja Radgona, Slovenia",Prepaid,Remittance,25.0,,USD,EXW,http://www.elrad-int.si,+386 2 568 43 00,+386 2 568 43 07,,9250,Kent Feng,Kent,,T001,馮耀賢,"Ljutomerska cesta47, 9250 Gornja Radgona, Slovenia",,
3497,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0402,J2 Sourcing,Customer,,Int'l Customer,Kent,"Kantyxegatan 29, 21376 Malmo, Sweden",,SE Sweden,Distributor,J2 Sourcing,"Kantyxegatan 29, 21376 Malmo, Sweden",Prepaid,Remittance,25.0,,USD,EXW,,+46 40 672 7250,,,21376,Kent Feng,Kent,,T001,馮耀賢,"Kantyxegatan 29, 21376 Malmo, Sweden",,
3664,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0401,欣陽電機有限公司,Customer,13068501,Local Customer,Darren,新竹市香山區樹下里牛埔南路508號,,TW-N5 Hsinchu,Repair Service,欣陽電機有限公司,新竹市香山區樹下里牛埔南路508號,Cash on Delivery,Remittance,25.0,,TWD,,,+886 3 540 3622,+886 3 540 3480,30091,30091,Darren Chang,Jack,,T023,張宏銘,新竹市香山區樹下里牛埔南路508號,24.79034,120.930498
3665,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0400,同誠科技有限公司,Customer,53706786,Local Customer,Darren,新北市新莊區民安路299巷38號,,TW-N2 New Taipei,Distributor,同誠科技有限公司,新北市新莊區民安路299巷38號,Cash on Delivery,Remittance,25.0,,TWD,,,+886 2 8201 4175,+886 2 8201 4176,24258,24258,Darren Chang,Jack,,T023,張宏銘,新北市新莊區民安路299巷38號,25.023408,121.429676
3498,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0399,McMaster University,Customer,,Int'l Customer,Kent,"Dept. of Electrical and Computer Engineering, ITB A320, 1280 Main Street West, Hamilton, Ontario L8S 4K1, CANADA",,CA Canada,Research Institution,McMaster University,"Dept. of Electrical and Computer Engineering, ITB A320, 1280 Main Street West, Hamilton, Ontario L8S 4K1, CANADA",Prepaid,Remittance,25.0,,CAD,EXW,,+905 525 9140,,,L8S 4K1,Kent Feng,Kent,,T001,馮耀賢,"Dept. of Electrical and Computer Engineering, ITB A320, 1280 Main Street West, Hamilton, Ontario L8S 4K1, CANADA",,
3499,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0398,Pointek Elektrik Elektronik,Customer,,Int'l Customer,Kent,"Turgut Ozal Bulvari, Gardenya Plaza 1 Kat: 5 34756, Atasehir  Istanbul  TURKEY",,TR Turkey,Motor Drive,Pointek Elektrik Elektronik,"Turgut Ozal Bulvari, Gardenya Plaza 1 Kat: 5 34756, Atasehir  Istanbul  TURKEY",Prepaid,Remittance,25.0,,USD,EXW,,+90 216 456 7940,+90 216 456 7962,,5 34756,Kent Feng,Kent,,T001,馮耀賢,"Turgut Ozal Bulvari, Gardenya Plaza 1 Kat: 5 34756, Atasehir  Istanbul  TURKEY",24.683743,120.907443
3666,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0397,撰瞬科技社,Customer,47540979,Local Customer,Darren,彰化縣和美鎮忠孝路266號,,TW-M3 Changhua,Others,撰瞬科技社,彰化縣和美鎮忠孝路266號,Cash on Delivery,Remittance,25.0,,TWD,,,+886 4 757 5111,,508018,508018,Darren Chang,Jack,,T023,張宏銘,彰化縣和美鎮忠孝路266號,24.111193,120.501264
3667,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0396,誌鑫電機有限公司,Customer,23328581,Local Customer,Darren,高雄市三民區民族一路2巷9弄32號,,TW-S3 Kaohsiung,Repair Service,誌鑫電機有限公司,高雄市三民區民族一路2巷9弄32號,EOM 30,Check,25.0,,TWD,,,+886 7 222 2685,+886 7 222 1682,80755,80755,Darren Chang,Jack,,T023,張宏銘,高雄市三民區民族一路2巷9弄32號,22.638,120.314685
3668,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0395,冠榮科技股份有限公司,Customer,23378104,Local Customer,Darren,台南市永康區和平東路135號,,TW-S2 Tainan,Others,冠榮科技股份有限公司,台南市永康區和平東路135號,Cash on Delivery,Remittance,25.0,,TWD,,http://cosmovac.com,+886 6 253 3371,,71042,71042,Darren Chang,Jack,,T023,張宏銘,台南市永康區和平東路135號,23.054975,120.264585
3500,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0394,LAFON Technologies,Customer,,Int'l Customer,Kent,"Av victor Meunier 33530 Bassens, FRANCE",,FR France,Others,LAFON Technologies,"Av victor Meunier 33530 Bassens, FRANCE",Prepaid,Remittance,25.0,,EUR,EXW,,+33 5 57 80 80 80,,,33530,Kent Feng,Kent,,T001,馮耀賢,"Av victor Meunier 33530 Bassens, FRANCE",,
3669,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0393,徠通科技股份有限公司,Customer,12841871,Local Customer,Darren,台中市南屯區精科路20號,,TW-M2 Taichung,EDM,徠通科技股份有限公司,台中市南屯區精科路20號,Cash on Delivery,Remittance,25.0,,TWD,,,+886 4 2359 9688,+886 4 2359 7266,40852,40852,Darren Chang,Jack,,T023,張宏銘,台中市南屯區精科路20號,24.146661,120.605308
3670,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0392,富順科技股份有限公司,Customer,86112285,Local Customer,Darren,高雄市三民區水源路140號,,TW-S3 Kaohsiung,Distributor,富順科技股份有限公司,高雄市三民區水源路140號,Cash on Delivery,Remittance,25.0,,TWD,,,+886 7 380 4375,+886 7 380 4782,80766,80766,Darren Chang,Jack,,T023,張宏銘,高雄市三民區水源路140號,22.636018,120.339312
3671,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0391,崑山科技大學,Customer,73502108,Local Customer,Darren,台南市永康區崑大路195號,,TW-S2 Tainan,Research Institution,崑山科技大學,台南市永康區崑大路195號,Cash on Delivery,Remittance,25.0,,TWD,,,,,71070,71070,Darren Chang,Jack,,T023,張宏銘,台南市永康區崑大路195號,22.998117,120.253319
3501,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0390,A1 Silicon,Customer,,Int'l Customer,Kent,"#913, Seonyudo Kolon Digital Tower, 21 Yangpyeong-ro 22-gil, Yeongdeungpo-gu Seoul, 07205, Korea",,KR Korea,Distributor,A1 Silicon,"#913, Seonyudo Kolon Digital Tower, 21 Yangpyeong-ro 22-gil, Yeongdeungpo-gu Seoul, 07205, Korea",Prepaid,Remittance,25.0,,USD,EXW,,+82 2 333 4714,+82 2 333 4717,,150721,Kent Feng,Kent,,T001,馮耀賢,"#913, Seonyudo Kolon Digital Tower, 21 Yangpyeong-ro 22-gil, Yeongdeungpo-gu Seoul, 07205, Korea",,
3672,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0389,銘欣泉電機工業股份有限公司,Customer,23772648,Local Customer,Darren,新北市三重區仁愛街125巷28 號,,TW-N2 New Taipei,Electroplating,銘欣泉電機工業股份有限公司,新北市三重區仁愛街125巷28 號,EOM 30,Check,25.0,,TWD,,,+886 2 2972 0247,+886 2 2975 6602,24150,24150,Darren Chang,Jack,,T023,張宏銘,新北市三重區仁愛街125巷28 號,25.075905,121.497699
3673,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0388,科亞得實業有限公司,Customer,13033525,Local Customer,Darren,台中市大里區大里路96號,,TW-M2 Taichung,SCR Controller/Soft Starters,科亞得實業有限公司,台中市大里區大里路96號,EOM 30,Check,25.0,,TWD,,,+886 4 2482 4325,+886 4 2482 4327,41269,41269,Darren Chang,Jack,,T023,張宏銘,台中市大里區大里路96號,24.105226,120.687174
3674,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0387_1,京侑有限公司,Customer,61923147,Local Customer,Darren,新北市樹林區東順街79巷10號,,TW-N2 New Taipei,Welding Machine,仰翼股份有限公司,新北市樹林區東順街79巷10號,EOM 30,Remittance,25.0,,TWD,,,+886 2 8686 6789,+886 2 8686 6655,23850,23850,Darren Chang,Jack,,T023,張宏銘,新北市樹林區東順街79巷10號,24.976123,121.409871
3675,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0387,仰翼股份有限公司,Customer,29159801,Local Customer,Darren,新北市樹林區東順街79巷10號,,TW-N2 New Taipei,Welding Machine,仰翼股份有限公司,新北市樹林區東順街79巷10號,EOM 30,Check,25.0,,TWD,,,+886 2 8686 6789,+886 2 8686 6655,23850,23850,Darren Chang,Jack,,T023,張宏銘,新北市樹林區東順街79巷10號,24.976123,121.409871
3676,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0386,健陞機電工業股份有限公司,Customer,55946537,Local Customer,Darren,台中市西屯區工業區十二路8 號,,TW-M2 Taichung,EDM,健陞機電工業股份有限公司,台中市西屯區工業區十二路8 號,Cash on Delivery,Remittance,25.0,,TWD,,,+886 4 2359 3717,+886 4 2359 0920,40755,40755,Darren Chang,Jack,,T023,張宏銘,台中市西屯區工業區十二路8 號,24.175049,120.597005
3677,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0385,御翔電子科技企業社,Customer,25911960,Local Customer,Darren,高雄市仁武區成功路152-5號,,TW-S3 Kaohsiung,Others,御翔電子科技企業社,高雄市三民區金山路297號,Cash on Delivery,Remittance,25.0,,TWD,,http://www.yuhsian.com.tw,+886 7 372 0853,+886 7 374 4365,80794,814019,Darren Chang,Jack,,T023,張宏銘,高雄市仁武區成功路152-5號,22.678814,120.361995
3502,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0384,Arkel Elektrik Elektronik,Customer,,Int'l Customer,Kent,Eyup Sultan Mah. Sah Cihan Cad. No:69 Sancaktepe - Istanbul TURKIYE,,TR Turkey,Motor Drive,Arkel Elektrik Elektronik,Eyup Sultan Mah. Sah Cihan Cad. No:69 Sancaktepe - Istanbul TURKIYE,Prepaid,Remittance,25.0,,USD,EXW,,+90 216 540 6724,+90 216 540 6726,,34885,Kent Feng,Kent,,T001,馮耀賢,Eyup Sultan Mah. Sah Cihan Cad. No:69 Sancaktepe - Istanbul TURKIYE,24.992124,121.427211
3678,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0383,固鼎電子企業有限公司,Customer,84957392,Local Customer,Darren,新北市新店區寶興路45巷9弄4號2樓,,TW-N2 New Taipei,Power Supply,固鼎電子企業有限公司,新北市新店區寶興路45巷9弄4號2樓,EOM 30,Remittance,25.0,,TWD,,,+886 2 2915 0071,+886 2 2911 7311,23145,23145,Darren Chang,Jack,,T023,張宏銘,新北市新店區寶興路45巷9弄4號,24.974022,121.550371
3679,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0382,力鉅機電有限公司,Customer,43780126,Local Customer,Darren,桃園市桃園區福林里陽明二街23號1樓,,TW-N4 Taoyuan,Repair Service,力鉅機電有限公司,桃園市桃園區福林里陽明二街23號1樓,Cash on Delivery,Remittance,25.0,,TWD,,,+886 3 362 2111,+886 3 363 4977,33063,33063,Darren Chang,Jack,,T023,張宏銘,桃園市桃園區福林里陽明二街23號,24.978337,121.308497
3680,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0381,全盛工程企業有限公司,Customer,83747882,Local Customer,Darren,高雄市前鎮區新福路7號,,TW-S3 Kaohsiung,Others,全盛工程企業有限公司,高雄市前鎮區新福路7號,Cash on Delivery,Remittance,25.0,,TWD,,,+886 7 813 2200,+886 7 813 6622,80672,80672,Darren Chang,Jack,,T023,張宏銘,高雄市前鎮區新福路7號,22.579794,120.317132
3503,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0380,Powercon Ventures India Pvt. Ltd.,Customer,,Int'l Customer,Kent,"103, Aurum Avenue, New Baner-Balewadi Link Road, Adjacent to Cummins Complex, Baner, Pune, India",,IN India,Energy Storage,Powercon Ventures India Pvt. Ltd.,"103, Aurum Avenue, New Baner-Balewadi Link Road, Adjacent to Cummins Complex, Baner, Pune, India",Prepaid,Remittance,25.0,,USD,EXW,,+91 20 6648 4874,,,411045,Kent Feng,Kent,,T001,馮耀賢,"103, Aurum Avenue, New Baner-Balewadi Link Road, Adjacent to Cummins Complex, Baner, Pune, India",,
3504,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0379,Institute For Advance Research,Customer,,Int'l Customer,Kent,"Institutional Area, Koba, Gandhinagar, Gujarat , India",,IN India,Research Institution,Institute For Advance Research,"Institutional Area, Koba, Gandhinagar, Gujarat , India",Prepaid,Remittance,25.0,,USD,EXW,,,,,,Kent Feng,Kent,,T001,馮耀賢,"Institutional Area, Koba, Gandhinagar, Gujarat , India",,
3681,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0378,憶機企業有限公司,Customer,29135415,Local Customer,Darren,新北市板橋區光武街110巷18弄6號1樓,,TW-N2 New Taipei,Power Supply,憶機企業有限公司,新北市板橋區光武街110巷18弄6號1樓,Cash on Delivery,Remittance,25.0,,TWD,,,+886 2 2250 0300,,22047,22047,Darren Chang,Jack,,T023,張宏銘,新北市板橋區光武街110巷18弄6號,25.029325,121.466547
3682,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0377,中國鋼鐵股份有限公司,Customer,30414175,Local Customer,Darren,高雄市小港區中鋼路1號,,TW-S3 Kaohsiung,Others,中國鋼鐵股份有限公司,高雄市小港區中鋼路1號,Cash on Delivery,Remittance,25.0,,TWD,,,+886 7 337 1017,,81233,81233,Darren Chang,Jack,,T023,張宏銘,高雄市小港區中鋼路1號,22.554312,120.348918
3683,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0376,超譽企業有限公司,Customer,22824020,Local Customer,Darren,"高雄市小港區中鋼路1號, 單位: W263",,TW-S3 Kaohsiung,Others,超譽企業有限公司,高雄市三民區九如一路543巷1號,Cash on Delivery,Remittance,25.0,,TWD,,,+886 7 383 5341,+886 7 387 2421,80764,81233,Darren Chang,Jack,,T023,張宏銘,高雄市小港區中鋼路1號,22.554312,120.348918
3684,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0375,稘興企業有限公司,Customer,28808737,Local Customer,Darren,雲林縣西螺鎮福田里9 鄰茄塘18 號,,TW-M5 Yunlin,Repair Service,稘興企業有限公司,雲林縣西螺鎮福田里9 鄰茄塘18 號,EOM 30,Check,25.0,,TWD,,,+886 5 599 1147,+886 5 599 1778,648005,648005,Darren Chang,Jack,,T023,張宏銘,雲林縣西螺鎮福田里9 鄰茄塘18 號,23.781774,120.4263
3685,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0374,漢民科技股份有限公司,Customer,12138114,Local Customer,Darren,新竹市東區研新一路18號,,TW-N5 Hsinchu,Others,漢民科技股份有限公司,新竹市東區研新一路18號5樓,others,Remittance,25.0,50%訂金，50%月結30天,TWD,,https://www.hermes.com.tw/,+886 3 579 7711,+886 3 579 0011,30077,30077,Darren Chang,Jack,,T023,張宏銘,新竹市東區研新一路18號,24.775925,121.01491
3686,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0373,升陽科技有限公司,Customer,42938872,Local Customer,Darren,台南市永康區國華街102巷127號,,TW-S2 Tainan,Repair Service,升陽科技有限公司,台南市永康區國華街102巷127號,EOM 30,Check,25.0,,TWD,,,+886 6 202 9925,+886 6 202 9921,71068,71068,Darren Chang,Jack,,T023,張宏銘,台南市永康區國華街102巷127號,23.016081,120.248396
3505,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0372,Green Industrial System Co.,Customer,,Int'l Customer,Kent,,,KR Korea,Distributor,Green Industrial System Co.,,Prepaid,Remittance,25.0,,USD,EXW,,+82 31 298 1990,,,,Kent Feng,Kent,,T001,馮耀賢,,,
3687,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0371,亞元科技股份有限公司,Customer,23727428,Local Customer,Darren,台北市大安區基隆路四段43號(研揚大樓7F),,TW-N1 Taipei,Others,亞元科技股份有限公司,台北市大安區基隆路四段43號(研揚大樓7F),Cash on Delivery,Remittance,25.0,,TWD,,,+886 2 2377 0282,+886 2 2377 0283,10607,10607,Darren Chang,Jack,,T023,張宏銘,台北市大安區基隆路四段43號,25.013743,121.54062
3506,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0370,B.J.S Electro Tech,Customer,,Int'l Customer,Kent,"C-177 Maya Puri Industrial Area, Phase 2, mata mandir wali road, Near TVS Service Centre, New Delhi, India.",,IN India,Distributor,B.J.S Electro Tech,"WZ-674 A, GROUND FLOOR,SHIV, NAGAR EXTN., JAIL ROAD, NEW DELHI, INDIA",Prepaid,Remittance,25.0,,USD,EXW,,+91 11 455 01780,,,110064,Kent Feng,Kent,,T001,馮耀賢,"C-177 Maya Puri Industrial Area, Phase 2, mata mandir wali road, Near TVS Service Centre, New Delhi, India.",,
3688,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0369,立宸機械有限公司,Customer,24611213,Local Customer,Darren,桃園市龜山區明興街11巷5號2樓,,TW-N4 Taoyuan,Others,立宸機械有限公司,桃園市龜山區明興街11巷5號2樓,Cash on Delivery,Remittance,25.0,,TWD,,,,,33341,33341,Darren Chang,Jack,,T023,張宏銘,桃園市龜山區明興街11巷5號,24.985877,121.33171
3689,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0368,久泰貿易股份有限公司,Customer,23217403,Local Customer,Darren,台中市南屯區惠中里大墩十二街385號1樓,,TW-M2 Taichung,Distributor,久泰貿易股份有限公司,台中市南屯區惠中里大墩十二街385號1樓,Cash on Delivery,Remittance,25.0,,TWD,,,+886 4 2252 0052,,40861,40861,Darren Chang,Jack,,T023,張宏銘,台中市南屯區惠中里大墩十二街385號,24.149719,120.644113
3690,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0367,牧陽能控股份有限公司,Customer,54075581,Local Customer,Darren,台南市永康區大灣東路36號,,TW-S2 Tainan,Others,牧陽能控股份有限公司,台南市永康區大灣東路36號,Cash on Delivery,Remittance,25.0,,TWD,,http://www.greenshepherd.com.tw/,+886 6 205 3193,+886 6 205 3103,71064,71064,Darren Chang,Jack,,T023,張宏銘,台南市永康區大灣東路36號,22.99843,120.260829
3507,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0366,Felss Rotaform S.R.O.,Customer,,Int'l Customer,Kent,"Ludovita Stura 1030/74, Ilava, Slovakia",,SK Slovakia,Others,Felss Rotaform S.R.O.,"Ludovita Stura 1030/74, Ilava, Slovakia",Prepaid,Remittance,25.0,,USD,EXW,http://www.felss.com,,,,1901,Kent Feng,Kent,,T001,馮耀賢,"Ludovita Stura 1030/74, Ilava, Slovakia",,
3508,Administrator,Administrator,2025/12/16 11:46,2025/07/28 09:28,EIT-0365,"MacMic Science & Technology Co., Ltd.",Customer,,Int'l Customer,Kent,江蘇省常州市新北區華山中路18,,CN China,Power Semiconductor,"MacMic Science & Technology Co., Ltd.",江蘇省常州市新北區華山中路18,Prepaid,Remittance,25.0,,USD,DDP,http://www.macmicst.com,+86 519 8516 6088,+86 519 8516 2291,,213022,Kent Feng,Kent,,T001,馮耀賢,江蘇省常州市新北區華山中路18,22.745348,120.475392
